service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
101686,0,0,0,0,0,0,0,20250908,20260327
102470,0,0,0,0,0,0,0,20250908,20260327
114764,0,0,0,0,0,0,0,20250915,20260326
117863,0,0,0,0,0,0,0,20250915,20260327
117980,0,0,0,0,0,0,0,20250908,20260326
121006,0,0,0,0,0,0,0,20250915,20260327
121079,0,0,0,0,0,0,0,20250908,20260327
121403,1,1,1,0,1,0,0,20251013,20260327
124222,0,0,0,0,0,0,0,20250908,20260327
136004,0,1,1,0,0,0,0,20250915,20260327
137519,1,1,1,0,0,0,0,20250915,20260327
137689,0,1,1,0,1,0,0,20250915,20260327
140292,1,1,1,0,0,0,0,20250908,20260327
140905,0,1,1,0,1,0,0,20250908,20260327
141113,1,1,1,0,1,0,0,20250915,20260327
144329,1,1,1,0,1,0,0,20250908,20260327
144692,1,1,1,1,1,0,0,20250915,20260327
1545,0,0,1,0,0,0,0,20251126,20251126
16116,1,1,1,1,0,0,0,20250915,20251009
18889,1,1,1,1,0,0,0,20250908,20251009
198,0,0,1,0,0,0,0,20250910,20250910
20009,0,0,0,0,0,0,0,20250917,20260325
20107,0,0,0,0,0,0,0,20251017,20260313
21747,0,0,0,0,0,0,0,20250917,20260325
21945,0,0,0,0,0,0,0,20250910,20260325
23250,0,0,0,0,0,0,0,20251111,20260227
26349,0,0,0,0,0,0,0,20251010,20260327
26962,0,0,0,0,0,1,0,20251011,20260321
2773,1,1,1,1,0,0,0,20250908,20250911
28995,0,0,0,0,0,0,1,20250914,20260322
3018,1,1,0,1,1,0,0,20250908,20250912
31857,0,0,0,0,0,1,0,20250913,20260321
3216,1,1,1,1,1,0,0,20250908,20250912
32350,0,0,0,0,0,1,0,20250913,20260321
32574,0,0,0,0,0,0,1,20250914,20260322
33468,0,0,0,0,0,0,1,20250914,20260322
3579,0,0,0,0,0,0,0,20251127,20260101
3594,0,0,0,0,1,0,0,20250919,20251010
35998,0,0,0,0,0,0,1,20250914,20260322
36966,0,0,0,0,0,1,0,20250913,20260321
4037,0,0,0,0,1,0,0,20250912,20251010
41661,0,0,1,0,0,0,0,20250917,20260325
443,0,0,0,0,1,0,0,20250912,20250912
4895,0,0,0,0,0,1,0,20250913,20251004
493,0,0,0,0,0,1,0,20250913,20250913
5388,0,0,0,0,0,1,0,20250913,20251004
98668,0,0,0,0,0,0,0,20250915,20260327
99452,0,0,0,0,0,0,0,20250915,20260327
