service_id,date,exception_type
christmas_eve_2025,20251224,1
event_s2100e0000,20250903,1
event_s2100e0000,20250917,1
event_s2100e0000,20250922,1
event_s2100e0000,20250924,1
event_s2100e0000,20250925,1
event_s2100e0000,20250930,1
event_s2100e0000,20251002,1
event_s2100e0000,20251005,1
event_s2100e0000,20251015,1
event_s2100e0000,20251016,1
event_s2100e0000,20251021,1
event_s2100e0000,20251022,1
event_s2100e0000,20251029,1
event_s2100e0000,20251106,1
event_s2100e0000,20251112,1
event_s2100e0000,20251116,1
event_s2100e0000,20251123,1
event_s2100e2230,20250909,1
event_s2300e0000,20250720,1
event_s2300e0000,20250721,1
event_s2300e0000,20250731,1
event_s2300e0000,20250802,1
event_s2300e0000,20250806,1
event_s2300e0000,20250807,1
event_s2300e0000,20250808,1
event_s2300e0000,20250809,1
event_s2300e0000,20250812,1
event_s2300e0000,20250815,1
event_s2300e0000,20250816,1
event_s2300e0000,20250912,1
event_s2300e0000,20250919,1
event_s2300e0000,20250920,1
event_s2300e0000,20251003,1
event_s2300e0000,20251004,1
event_s2300e0000,20251018,1
event_s2300e0000,20251107,1
event_s2300e0000,20251108,1
event_s2300e0000,20251121,1
event_s2300e2330,20250824,1
labor_day_2025,20250901,1
memorial_day_2026,20260525,1
mlk_day_2026,20260119,1
ny_day_2026,20260101,1
ny_eve_2025,20251231,1
ny_eve_post_2026,20260101,1
summer2025_MonFri,20250901,2
veterans_day_2025,20251110,1
winter2025_MonThu,20251110,2
winter2025_MonThu,20251127,2
winter2025_MonThu,20251224,2
winter2025_MonThu,20251225,2
winter2025_MonThu,20251231,2
winter2025_MonThu,20260101,2
winter2025_MonThu,20260119,2
