trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,departure_buffer
NB_christmas_eve_2025_0835,WL,08:35:00,08:35:00,0,1,0
NB_christmas_eve_2025_0835,SC,08:38:00,08:38:00,0,2,0
NB_christmas_eve_2025_0845,WL,08:45:00,08:45:00,0,1,0
NB_christmas_eve_2025_0845,SC,08:48:00,08:48:00,0,2,0
NB_christmas_eve_2025_0855,WL,08:55:00,08:55:00,0,1,0
NB_christmas_eve_2025_0855,SC,08:58:00,08:58:00,0,2,0
NB_christmas_eve_2025_0905,WL,09:05:00,09:05:00,0,1,0
NB_christmas_eve_2025_0905,SC,09:08:00,09:08:00,0,2,0
NB_christmas_eve_2025_0915,WL,09:15:00,09:15:00,0,1,0
NB_christmas_eve_2025_0915,SC,09:18:00,09:18:00,0,2,0
NB_christmas_eve_2025_0925,WL,09:25:00,09:25:00,0,1,0
NB_christmas_eve_2025_0925,SC,09:28:00,09:28:00,0,2,0
NB_christmas_eve_2025_0935,WL,09:35:00,09:35:00,0,1,0
NB_christmas_eve_2025_0935,SC,09:38:00,09:38:00,0,2,0
NB_christmas_eve_2025_0945,WL,09:45:00,09:45:00,0,1,0
NB_christmas_eve_2025_0945,SC,09:48:00,09:48:00,0,2,0
NB_christmas_eve_2025_0955,WL,09:55:00,09:55:00,0,1,0
NB_christmas_eve_2025_0955,SC,09:58:00,09:58:00,0,2,0
NB_christmas_eve_2025_1005,WL,10:05:00,10:05:00,0,1,0
NB_christmas_eve_2025_1005,SC,10:08:00,10:08:00,0,2,0
NB_christmas_eve_2025_1015,WL,10:15:00,10:15:00,0,1,0
NB_christmas_eve_2025_1015,SC,10:18:00,10:18:00,0,2,0
NB_christmas_eve_2025_1025,WL,10:25:00,10:25:00,0,1,0
NB_christmas_eve_2025_1025,SC,10:28:00,10:28:00,0,2,0
NB_christmas_eve_2025_1035,WL,10:35:00,10:35:00,0,1,0
NB_christmas_eve_2025_1035,SC,10:38:00,10:38:00,0,2,0
NB_christmas_eve_2025_1045,WL,10:45:00,10:45:00,0,1,0
NB_christmas_eve_2025_1045,SC,10:48:00,10:48:00,0,2,0
NB_christmas_eve_2025_1055,WL,10:55:00,10:55:00,0,1,0
NB_christmas_eve_2025_1055,SC,10:58:00,10:58:00,0,2,0
NB_christmas_eve_2025_1105,WL,11:05:00,11:05:00,0,1,0
NB_christmas_eve_2025_1105,SC,11:08:00,11:08:00,0,2,0
NB_christmas_eve_2025_1115,WL,11:15:00,11:15:00,0,1,0
NB_christmas_eve_2025_1115,SC,11:18:00,11:18:00,0,2,0
NB_christmas_eve_2025_1125,WL,11:25:00,11:25:00,0,1,0
NB_christmas_eve_2025_1125,SC,11:28:00,11:28:00,0,2,0
NB_christmas_eve_2025_1135,WL,11:35:00,11:35:00,0,1,0
NB_christmas_eve_2025_1135,SC,11:38:00,11:38:00,0,2,0
NB_christmas_eve_2025_1145,WL,11:45:00,11:45:00,0,1,0
NB_christmas_eve_2025_1145,SC,11:48:00,11:48:00,0,2,0
NB_christmas_eve_2025_1155,WL,11:55:00,11:55:00,0,1,0
NB_christmas_eve_2025_1155,SC,11:58:00,11:58:00,0,2,0
NB_christmas_eve_2025_1205,WL,12:05:00,12:05:00,0,1,0
NB_christmas_eve_2025_1205,SC,12:08:00,12:08:00,0,2,0
NB_christmas_eve_2025_1215,WL,12:15:00,12:15:00,0,1,0
NB_christmas_eve_2025_1215,SC,12:18:00,12:18:00,0,2,0
NB_christmas_eve_2025_1225,WL,12:25:00,12:25:00,0,1,0
NB_christmas_eve_2025_1225,SC,12:28:00,12:28:00,0,2,0
NB_christmas_eve_2025_1235,WL,12:35:00,12:35:00,0,1,0
NB_christmas_eve_2025_1235,SC,12:38:00,12:38:00,0,2,0
NB_christmas_eve_2025_1245,WL,12:45:00,12:45:00,0,1,0
NB_christmas_eve_2025_1245,SC,12:48:00,12:48:00,0,2,0
NB_christmas_eve_2025_1255,WL,12:55:00,12:55:00,0,1,0
NB_christmas_eve_2025_1255,SC,12:58:00,12:58:00,0,2,0
NB_christmas_eve_2025_1305,WL,13:05:00,13:05:00,0,1,0
NB_christmas_eve_2025_1305,SC,13:08:00,13:08:00,0,2,0
NB_christmas_eve_2025_1315,WL,13:15:00,13:15:00,0,1,0
NB_christmas_eve_2025_1315,SC,13:18:00,13:18:00,0,2,0
NB_christmas_eve_2025_1325,WL,13:25:00,13:25:00,0,1,0
NB_christmas_eve_2025_1325,SC,13:28:00,13:28:00,0,2,0
NB_christmas_eve_2025_1335,WL,13:35:00,13:35:00,0,1,0
NB_christmas_eve_2025_1335,SC,13:38:00,13:38:00,0,2,0
NB_christmas_eve_2025_1345,WL,13:45:00,13:45:00,0,1,0
NB_christmas_eve_2025_1345,SC,13:48:00,13:48:00,0,2,0
NB_christmas_eve_2025_1355,WL,13:55:00,13:55:00,0,1,0
NB_christmas_eve_2025_1355,SC,13:58:00,13:58:00,0,2,0
NB_christmas_eve_2025_1405,WL,14:05:00,14:05:00,0,1,0
NB_christmas_eve_2025_1405,SC,14:08:00,14:08:00,0,2,0
NB_christmas_eve_2025_1415,WL,14:15:00,14:15:00,0,1,0
NB_christmas_eve_2025_1415,SC,14:18:00,14:18:00,0,2,0
NB_christmas_eve_2025_1425,WL,14:25:00,14:25:00,0,1,0
NB_christmas_eve_2025_1425,SC,14:28:00,14:28:00,0,2,0
NB_christmas_eve_2025_1435,WL,14:35:00,14:35:00,0,1,0
NB_christmas_eve_2025_1435,SC,14:38:00,14:38:00,0,2,0
NB_christmas_eve_2025_1445,WL,14:45:00,14:45:00,0,1,0
NB_christmas_eve_2025_1445,SC,14:48:00,14:48:00,0,2,0
NB_christmas_eve_2025_1455,WL,14:55:00,14:55:00,0,1,0
NB_christmas_eve_2025_1455,SC,14:58:00,14:58:00,0,2,0
NB_christmas_eve_2025_1505,WL,15:05:00,15:05:00,0,1,0
NB_christmas_eve_2025_1505,SC,15:08:00,15:08:00,0,2,0
NB_christmas_eve_2025_1515,WL,15:15:00,15:15:00,0,1,0
NB_christmas_eve_2025_1515,SC,15:18:00,15:18:00,0,2,0
NB_christmas_eve_2025_1525,WL,15:25:00,15:25:00,0,1,0
NB_christmas_eve_2025_1525,SC,15:28:00,15:28:00,0,2,0
NB_christmas_eve_2025_1535,WL,15:35:00,15:35:00,0,1,0
NB_christmas_eve_2025_1535,SC,15:38:00,15:38:00,0,2,0
NB_christmas_eve_2025_1545,WL,15:45:00,15:45:00,0,1,0
NB_christmas_eve_2025_1545,SC,15:48:00,15:48:00,0,2,0
NB_christmas_eve_2025_1555,WL,15:55:00,15:55:00,0,1,0
NB_christmas_eve_2025_1555,SC,15:58:00,15:58:00,0,2,0
NB_christmas_eve_2025_1605,WL,16:05:00,16:05:00,0,1,0
NB_christmas_eve_2025_1605,SC,16:08:00,16:08:00,0,2,0
NB_christmas_eve_2025_1615,WL,16:15:00,16:15:00,0,1,0
