service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
LLR_2025-07-19_Jul10_Combined_Summer2025_NRC_Full_Saturday,0,0,0,0,0,1,0,20250719,20250824
LLR_2025-07-19_Jul10_Combined_Summer2025_NRC_Full_Sunday,0,0,0,0,0,0,1,20250719,20250824
LLR_2025-07-19_Jul10_Combined_Summer2025_NRC_Full_Weekday,1,1,1,1,1,0,0,20250719,20250824
LLR_2025-08-25_Jul17_Combined_Summer2025_Pine_SB_Weekday,1,1,1,1,1,0,0,20250825,20250829
LLR_2025-08-30_Jul17_Combined_Fall2025v2_Saturday,0,0,0,0,0,1,0,20250830,20260326
LLR_2025-08-30_Jul17_Combined_Fall2025v2_Sunday,0,0,0,0,0,0,1,20250830,20260326
LLR_2025-09-01_Jul17_Combined_Fall 2025v2_Sunday_Labor Day,1,0,0,0,0,0,0,20250901,20250901
LLR_2025-09-02_July29_Link_Fall2025_PineSB_Weekday,1,1,1,1,1,0,0,20250902,20250926
LLR_2025-09-29_Jul17_Combined_Fall2025v2_Weekday,1,1,1,1,1,0,0,20250929,20260327
SNDR_Fall2024_Weekday,1,1,1,1,1,0,0,20250519,20260326
TLINE_2025-05-28_TLink_Saturday_ForGTFS_09162023_12mins,0,0,0,0,0,1,0,20250528,20260327
TLINE_2025-05-28_TLink_Sunday_ForGTFS_09162023_20mins,0,0,0,0,0,0,1,20250528,20260327
TLINE_2025-05-28_TLink_Weekday_forGTFS_09162023_12mins,1,1,1,1,1,0,0,20250528,20260327
