fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration,youth_price,senior_price
18,4.75,USD,1,,40,7200,0.0,2.25
19,5.0,USD,1,,40,7200,0.0,2.5
link4,3.0,USD,1,,40,7200,0.0,0.0
link3,2.75,USD,1,,40,7200,0.0,0.0
link2,2.5,USD,1,,40,7200,0.0,0.0
link1,2.25,USD,1,,40,7200,0.0,0.0
tline,2.0,USD,1,,40,7200,0.0,1.0
link6,3.5,USD,1,,40,7200,0.0,0.0
20,5.25,USD,1,,40,7200,0.0,2.5
link5,3.25,USD,1,,40,7200,0.0,0.0
21,5.5,USD,1,,40,7200,0.0,2.75
22,5.75,USD,1,,40,7200,0.0,2.75
12,3.25,USD,1,,40,7200,0.0,1.5
13,3.5,USD,1,,40,7200,0.0,1.75
14,3.75,USD,1,,40,7200,0.0,1.75
15,4.0,USD,1,,40,7200,0.0,2.0
16,4.25,USD,1,,40,7200,0.0,2.0
17,4.5,USD,1,,40,7200,0.0,2.25
