shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-SODO-Capitol_Hill-NO,21544,47.579800,-122.327560,0.0
1-SHUTTLE-SODO-Capitol_Hill-NO,21545,47.579970,-122.327560,18.9
1-SHUTTLE-SODO-Capitol_Hill-NO,21546,47.580430,-122.327560,70.05
1-SHUTTLE-SODO-Capitol_Hill-NO,21547,47.581430,-122.327560,181.25
1-SHUTTLE-SODO-Capitol_Hill-NO,21548,47.585340,-122.327560,616.02
1-SHUTTLE-SODO-Capitol_Hill-NO,21549,47.586000,-122.327560,689.41
1-SHUTTLE-SODO-Capitol_Hill-NO,21550,47.586150,-122.327560,706.09
1-SHUTTLE-SODO-Capitol_Hill-NO,21551,47.586310,-122.327560,723.88
1-SHUTTLE-SODO-Capitol_Hill-NO,21552,47.586820,-122.327560,780.59
1-SHUTTLE-SODO-Capitol_Hill-NO,21553,47.587120,-122.327560,813.95
1-SHUTTLE-SODO-Capitol_Hill-NO,21554,47.588240,-122.327570,938.49
1-SHUTTLE-SODO-Capitol_Hill-NO,21555,47.588680,-122.327540,987.46
1-SHUTTLE-SODO-Capitol_Hill-NO,21556,47.589260,-122.327430,1052.48
1-SHUTTLE-SODO-Capitol_Hill-NO,21557,47.589480,-122.327380,1077.23
1-SHUTTLE-SODO-Capitol_Hill-NO,21558,47.589630,-122.327370,1093.93
1-SHUTTLE-SODO-Capitol_Hill-NO,21559,47.590450,-122.327340,1185.14
1-SHUTTLE-SODO-Capitol_Hill-NO,21560,47.590560,-122.327340,1197.37
1-SHUTTLE-SODO-Capitol_Hill-NO,21561,47.591230,-122.327350,1271.87
1-SHUTTLE-SODO-Capitol_Hill-NO,21562,47.591430,-122.327350,1294.11
1-SHUTTLE-SODO-Capitol_Hill-NO,21563,47.591930,-122.327420,1349.96
1-SHUTTLE-SODO-Capitol_Hill-NO,21564,47.592050,-122.327430,1363.32
1-SHUTTLE-SODO-Capitol_Hill-NO,21565,47.592270,-122.327450,1387.83
1-SHUTTLE-SODO-Capitol_Hill-NO,21566,47.592400,-122.327460,1402.3
1-SHUTTLE-SODO-Capitol_Hill-NO,21567,47.592400,-122.327600,1412.8
1-SHUTTLE-SODO-Capitol_Hill-NO,21568,47.592400,-122.327670,1418.05
1-SHUTTLE-SODO-Capitol_Hill-NO,21569,47.592400,-122.327700,1420.3
1-SHUTTLE-SODO-Capitol_Hill-NO,21570,47.592400,-122.327950,1439.05
1-SHUTTLE-SODO-Capitol_Hill-NO,21571,47.592400,-122.328190,1457.05
1-SHUTTLE-SODO-Capitol_Hill-NO,21572,47.592400,-122.328820,1504.29
1-SHUTTLE-SODO-Capitol_Hill-NO,21573,47.592400,-122.328840,1505.79
1-SHUTTLE-SODO-Capitol_Hill-NO,21574,47.592400,-122.329060,1522.29
1-SHUTTLE-SODO-Capitol_Hill-NO,21575,47.592540,-122.329060,1537.85
1-SHUTTLE-SODO-Capitol_Hill-NO,21576,47.592550,-122.329060,1538.97
1-SHUTTLE-SODO-Capitol_Hill-NO,21577,47.592840,-122.329060,1571.21
1-SHUTTLE-SODO-Capitol_Hill-NO,21578,47.593120,-122.329060,1602.35
1-SHUTTLE-SODO-Capitol_Hill-NO,21579,47.593340,-122.329060,1626.81
1-SHUTTLE-SODO-Capitol_Hill-NO,21580,47.593440,-122.329060,1637.93
1-SHUTTLE-SODO-Capitol_Hill-NO,21581,47.593600,-122.329060,1655.72
1-SHUTTLE-SODO-Capitol_Hill-NO,21582,47.593810,-122.329060,1679.07
1-SHUTTLE-SODO-Capitol_Hill-NO,21583,47.594020,-122.329050,1702.43
1-SHUTTLE-SODO-Capitol_Hill-NO,21584,47.594230,-122.329050,1725.79
1-SHUTTLE-SODO-Capitol_Hill-NO,21585,47.594590,-122.329050,1765.82
1-SHUTTLE-SODO-Capitol_Hill-NO,21586,47.594780,-122.329050,1786.94
1-SHUTTLE-SODO-Capitol_Hill-NO,21587,47.595150,-122.329050,1828.09
1-SHUTTLE-SODO-Capitol_Hill-NO,21588,47.595740,-122.329040,1893.69
1-SHUTTLE-SODO-Capitol_Hill-NO,21589,47.596190,-122.329040,1943.73
1-SHUTTLE-SODO-Capitol_Hill-NO,21590,47.596480,-122.329040,1975.98
1-SHUTTLE-SODO-Capitol_Hill-NO,21591,47.596690,-122.329040,1999.33
1-SHUTTLE-SODO-Capitol_Hill-NO,21592,47.597180,-122.329030,2053.82
1-SHUTTLE-SODO-Capitol_Hill-NO,21593,47.597520,-122.329030,2091.63
