service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20250827,0,0,1,0,0,0,0,20250827,20250827
20250828,0,0,0,1,0,0,0,20250828,20250828
20250829,0,0,0,0,1,0,0,20250829,20250829
20250830,0,0,0,0,0,1,0,20250830,20250830
20250831,0,0,0,0,0,0,1,20250831,20250831
20250901,1,0,0,0,0,0,0,20250901,20250901
20250902,0,1,0,0,0,0,0,20250902,20250902
20250903,0,0,1,0,0,0,0,20250903,20250903
20250904,0,0,0,1,0,0,0,20250904,20250904
20250905,0,0,0,0,1,0,0,20250905,20250905
20250906,0,0,0,0,0,1,0,20250906,20250906
20250907,0,0,0,0,0,0,1,20250907,20250907
20250908,1,0,0,0,0,0,0,20250908,20250908
20250909,0,1,0,0,0,0,0,20250909,20250909
20250910,0,0,1,0,0,0,0,20250910,20250910
20250911,0,0,0,1,0,0,0,20250911,20250911
20250912,0,0,0,0,1,0,0,20250912,20250912
20250913,0,0,0,0,0,1,0,20250913,20250913
20250914,0,0,0,0,0,0,1,20250914,20250914
20250915,1,0,0,0,0,0,0,20250915,20250915
20250916,0,1,0,0,0,0,0,20250916,20250916
20250917,0,0,1,0,0,0,0,20250917,20250917
20250918,0,0,0,1,0,0,0,20250918,20250918
20250919,0,0,0,0,1,0,0,20250919,20250919
20250920,0,0,0,0,0,1,0,20250920,20250920
20250921,0,0,0,0,0,0,1,20250921,20250921
20250922,1,0,0,0,0,0,0,20250922,20250922
20250923,0,1,0,0,0,0,0,20250923,20250923
20250924,0,0,1,0,0,0,0,20250924,20250924
20250925,0,0,0,1,0,0,0,20250925,20250925
20250926,0,0,0,0,1,0,0,20250926,20250926
20250927,0,0,0,0,0,1,0,20250927,20250927
20250928,0,0,0,0,0,0,1,20250928,20250928
20250929,1,0,0,0,0,0,0,20250929,20250929
20250930,0,1,0,0,0,0,0,20250930,20250930
20251001,0,0,1,0,0,0,0,20251001,20251001
20251002,0,0,0,1,0,0,0,20251002,20251002
20251003,0,0,0,0,1,0,0,20251003,20251003
20251004,0,0,0,0,0,1,0,20251004,20251004
20251005,0,0,0,0,0,0,1,20251005,20251005
20251006,1,0,0,0,0,0,0,20251006,20251006
20251007,0,1,0,0,0,0,0,20251007,20251007
20251008,0,0,1,0,0,0,0,20251008,20251008
20251009,0,0,0,1,0,0,0,20251009,20251009
20251010,0,0,0,0,1,0,0,20251010,20251010
20251011,0,0,0,0,0,1,0,20251011,20251011
20251012,0,0,0,0,0,0,1,20251012,20251012
20251013,1,0,0,0,0,0,0,20251013,20251013
20251014,0,1,0,0,0,0,0,20251014,20251014
20251015,0,0,1,0,0,0,0,20251015,20251015
20251016,0,0,0,1,0,0,0,20251016,20251016
20251017,0,0,0,0,1,0,0,20251017,20251017
20251018,0,0,0,0,0,1,0,20251018,20251018
20251019,0,0,0,0,0,0,1,20251019,20251019
