shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
101,0,48.535123,-123.014520
101,1,48.538025,-123.011223
101,2,48.539902,-123.010002
101,3,48.541576,-123.007706
101,4,48.543182,-123.001007
101,5,48.544540,-122.993851
101,6,48.544300,-122.982391
101,7,48.543388,-122.971046
101,8,48.541870,-122.960785
101,9,48.541161,-122.954544
101,10,48.541782,-122.948341
101,11,48.542522,-122.943405
101,12,48.544228,-122.939285
101,13,48.554741,-122.919075
101,14,48.560562,-122.908470
101,15,48.572090,-122.897957
101,16,48.574875,-122.893837
101,17,48.576775,-122.889290
101,18,48.572231,-122.854271
101,19,48.556782,-122.841911
101,20,48.534962,-122.828865
101,21,48.527687,-122.807579
101,22,48.529049,-122.775993
101,23,48.521320,-122.688103
101,24,48.513142,-122.678329
101,25,48.510838,-122.677193
101,26,48.508350,-122.676872
101,27,48.506730,-122.678140
1013,0,48.535123,-123.014520
1013,1,48.537979,-123.011139
1013,2,48.539890,-123.010033
1013,3,48.541481,-123.007751
1013,4,48.544430,-122.993813
1013,5,48.544460,-122.986473
1013,6,48.543205,-122.968941
1013,7,48.541222,-122.955399
1013,8,48.541222,-122.950760
1013,9,48.541729,-122.947067
1013,10,48.543381,-122.941017
1013,11,48.560989,-122.907761
1013,12,48.572300,-122.897980
1013,13,48.575562,-122.892830
1013,14,48.576950,-122.888321
1013,15,48.576931,-122.885323
1013,16,48.576569,-122.883728
1013,17,48.575401,-122.882233
1013,18,48.574059,-122.881569
1013,19,48.572971,-122.881668
1013,20,48.570710,-122.883440
1015,0,48.535123,-123.014520
1015,1,48.542145,-123.011986
1015,2,48.544930,-123.004776
1015,3,48.546635,-123.002800
1015,4,48.548908,-123.001854
1015,5,48.555271,-123.001511
1015,6,48.558453,-123.001854
1015,7,48.576176,-123.026405
1015,8,48.582989,-123.030609
1015,9,48.588039,-123.030785
1015,10,48.590313,-123.028122
1015,11,48.592922,-123.020828
1015,12,48.593662,-123.016365
1015,13,48.593433,-123.013443
1015,14,48.592072,-123.008896
1015,15,48.589912,-123.006836
1015,16,48.590424,-122.995079
1015,17,48.593433,-122.987526
1015,18,48.594059,-122.985031
1015,19,48.594627,-122.974731
1015,20,48.596573,-122.968063
1015,21,48.596802,-122.962608
1015,22,48.594219,-122.951149
1015,23,48.594418,-122.947632
1015,24,48.595268,-122.944801
1015,25,48.596375,-122.943558
1015,26,48.597660,-122.943880
1018,0,48.535123,-123.014520
1018,1,48.540714,-123.012604
1018,2,48.542107,-123.011749
1018,3,48.543076,-123.009476
1018,4,48.544865,-123.004623
1018,5,48.546738,-123.002563
1018,6,48.550148,-123.001579
1018,7,48.556824,-123.001190
1018,8,48.558498,-123.001747
1018,9,48.559692,-123.003082
1018,10,48.575794,-123.025955
