trip_id,stop_id,arrival_time,departure_time,stop_sequence,stop_headsign,departure_buffer
101390827250,10,05:35:00,05:35:00,1,Lopez Island,0
101390827250,13,06:15:00,06:15:00,2,Lopez Island,0
101390827251,10,05:55:00,05:55:00,1,Lopez Island,0
101390827251,13,06:35:00,06:35:00,2,Lopez Island,0
101390827252,10,08:35:00,08:35:00,1,Lopez Island,0
101390827252,13,09:15:00,09:15:00,2,Lopez Island,0
101390827253,10,11:20:00,11:20:00,1,Lopez Island,0
101390827253,13,12:55:00,12:55:00,2,Lopez Island,0
101390827254,10,13:55:00,13:55:00,1,Lopez Island,0
101390827254,13,14:40:00,14:40:00,2,Lopez Island,0
101390827255,10,14:15:00,14:15:00,1,Lopez Island,0
101390827255,13,15:50:00,15:50:00,2,Lopez Island,0
101390827256,10,15:50:00,15:50:00,1,Lopez Island,0
101390827256,13,16:25:00,16:25:00,2,Lopez Island,0
101390827257,10,17:50:00,17:50:00,1,Lopez Island,0
101390827257,13,19:35:00,19:35:00,2,Lopez Island,0
101390827258,10,21:50:00,21:50:00,1,Lopez Island,0
101390827258,13,23:20:00,23:20:00,2,Lopez Island,0
101390828250,10,05:35:00,05:35:00,1,Lopez Island,0
101390828250,13,06:15:00,06:15:00,2,Lopez Island,0
101390828251,10,05:55:00,05:55:00,1,Lopez Island,0
101390828251,13,06:35:00,06:35:00,2,Lopez Island,0
101390828252,10,08:35:00,08:35:00,1,Lopez Island,0
101390828252,13,09:15:00,09:15:00,2,Lopez Island,0
101390828253,10,11:20:00,11:20:00,1,Lopez Island,0
101390828253,13,12:55:00,12:55:00,2,Lopez Island,0
101390828254,10,13:55:00,13:55:00,1,Lopez Island,0
101390828254,13,14:40:00,14:40:00,2,Lopez Island,0
101390828255,10,14:15:00,14:15:00,1,Lopez Island,0
101390828255,13,15:50:00,15:50:00,2,Lopez Island,0
101390828256,10,15:50:00,15:50:00,1,Lopez Island,0
101390828256,13,16:25:00,16:25:00,2,Lopez Island,0
101390828257,10,17:50:00,17:50:00,1,Lopez Island,0
101390828257,13,19:35:00,19:35:00,2,Lopez Island,0
101390828258,10,21:50:00,21:50:00,1,Lopez Island,0
101390828258,13,23:20:00,23:20:00,2,Lopez Island,0
101390829250,10,05:35:00,05:35:00,1,Lopez Island,0
101390829250,13,06:15:00,06:15:00,2,Lopez Island,0
101390829251,10,05:55:00,05:55:00,1,Lopez Island,0
101390829251,13,06:35:00,06:35:00,2,Lopez Island,0
101390829252,10,08:35:00,08:35:00,1,Lopez Island,0
101390829252,13,09:15:00,09:15:00,2,Lopez Island,0
101390829253,10,11:20:00,11:20:00,1,Lopez Island,0
101390829253,13,12:55:00,12:55:00,2,Lopez Island,0
101390829254,10,13:55:00,13:55:00,1,Lopez Island,0
101390829254,13,14:40:00,14:40:00,2,Lopez Island,0
101390829255,10,14:15:00,14:15:00,1,Lopez Island,0
101390829255,13,15:50:00,15:50:00,2,Lopez Island,0
101390829256,10,15:50:00,15:50:00,1,Lopez Island,0
101390829256,13,16:25:00,16:25:00,2,Lopez Island,0
101390829257,10,17:50:00,17:50:00,1,Lopez Island,0
101390829257,13,19:35:00,19:35:00,2,Lopez Island,0
101390829258,10,21:50:00,21:50:00,1,Lopez Island,0
101390829258,13,23:20:00,23:20:00,2,Lopez Island,0
101390830250,10,05:35:00,05:35:00,1,Lopez Island,0
101390830250,13,06:15:00,06:15:00,2,Lopez Island,0
101390830251,10,05:55:00,05:55:00,1,Lopez Island,0
101390830251,13,06:35:00,06:35:00,2,Lopez Island,0
101390830252,10,08:35:00,08:35:00,1,Lopez Island,0
101390830252,13,09:15:00,09:15:00,2,Lopez Island,0
101390830253,10,11:20:00,11:20:00,1,Lopez Island,0
101390830253,13,12:55:00,12:55:00,2,Lopez Island,0
101390830254,10,13:55:00,13:55:00,1,Lopez Island,0
101390830254,13,14:40:00,14:40:00,2,Lopez Island,0
101390830255,10,14:15:00,14:15:00,1,Lopez Island,0
101390830255,13,15:50:00,15:50:00,2,Lopez Island,0
101390830256,10,17:50:00,17:50:00,1,Lopez Island,0
